tanggal,jumlah_pasien,is_weekend,is_imlek,is_idulfitri,is_idulfitri_sec,is_iduladha,is_waisak,is_natal,is_nyepi,is_libur_nasional,lag_1,lag_7,lag_14,lag_21,lag_30
2023-07-08,69,1,0,0,0,0,0,0,0,0,64,56,64,62,90
2023-07-09,62,1,0,0,0,0,0,0,0,0,69,60,65,60,84
2023-07-10,80,0,0,0,0,0,0,0,0,0,62,81,85,82,82
2023-07-11,75,0,0,0,0,0,0,0,0,0,80,79,71,72,82
2023-07-12,77,0,0,0,0,0,0,0,0,0,75,76,55,81,99
2023-07-13,77,0,0,0,0,0,0,0,0,0,77,69,48,75,100
2023-07-14,69,0,0,0,0,0,0,0,0,0,77,64,51,62,93
2023-07-15,66,1,0,0,0,0,0,0,0,0,69,69,56,64,71
2023-07-16,63,1,0,0,0,0,0,0,0,0,66,62,60,65,71
2023-07-17,79,0,0,0,0,0,0,0,0,0,63,80,81,85,62
2023-07-18,79,0,0,0,0,0,0,0,0,0,79,75,79,71,60
2023-07-19,70,0,0,0,0,0,0,0,0,1,79,77,76,55,82
2023-07-20,81,0,0,0,0,0,0,0,0,0,70,77,69,48,72
2023-07-21,92,0,0,0,0,0,0,0,0,0,81,69,64,51,81
2023-07-22,84,1,0,0,0,0,0,0,0,0,92,66,69,56,75
2023-07-23,70,1,0,0,0,0,0,0,0,0,84,63,62,60,62
2023-07-24,85,0,0,0,0,0,0,0,0,0,70,79,80,81,64
2023-07-25,86,0,0,0,0,0,0,0,0,0,85,79,75,79,65
2023-07-26,83,0,0,0,0,0,0,0,0,0,86,70,77,76,85
2023-07-27,81,0,0,0,0,0,0,0,0,0,83,81,77,69,71
2023-07-28,80,0,0,0,0,0,0,0,0,0,81,92,69,64,55
2023-07-29,73,1,0,0,0,0,0,0,0,0,80,84,66,69,48
2023-07-30,60,1,0,0,0,0,0,0,0,0,73,70,63,62,51
2023-07-31,82,0,0,0,0,0,0,0,0,0,60,85,79,80,56
2023-08-01,87,0,0,0,0,0,0,0,0,0,82,86,79,75,60
2023-08-02,89,0,0,0,0,0,0,0,0,0,87,83,70,77,81
2023-08-03,83,0,0,0,0,0,0,0,0,0,89,81,81,77,79
2023-08-04,75,0,0,0,0,0,0,0,0,0,83,80,92,69,76
2023-08-05,74,1,0,0,0,0,0,0,0,0,75,73,84,66,69
2023-08-06,65,1,0,0,0,0,0,0,0,0,74,60,70,63,64
2023-08-07,84,0,0,0,0,0,0,0,0,0,65,82,85,79,69
2023-08-08,85,0,0,0,0,0,0,0,0,0,84,87,86,79,62
2023-08-09,92,0,0,0,0,0,0,0,0,0,85,89,83,70,80
2023-08-10,81,0,0,0,0,0,0,0,0,0,92,83,81,81,75
2023-08-11,64,0,0,0,0,0,0,0,0,0,81,75,80,92,77
2023-08-12,67,1,0,0,0,0,0,0,0,0,64,74,73,84,77
2023-08-13,57,1,0,0,0,0,0,0,0,0,67,65,60,70,69
2023-08-14,80,0,0,0,0,0,0,0,0,0,57,84,82,85,66
2023-08-15,90,0,0,0,0,0,0,0,0,0,80,85,87,86,63
2023-08-16,89,0,0,0,0,0,0,0,0,0,90,92,89,83,79
2023-08-17,73,0,0,0,0,0,0,0,0,1,89,81,83,81,79
2023-08-18,74,0,0,0,0,0,0,0,0,0,73,64,75,80,70
2023-08-19,69,1,0,0,0,0,0,0,0,0,74,67,74,73,81
2023-08-20,69,1,0,0,0,0,0,0,0,0,69,57,65,60,92
2023-08-21,91,0,0,0,0,0,0,0,0,0,69,80,84,82,84
2023-08-22,89,0,0,0,0,0,0,0,0,0,91,90,85,87,70
2023-08-23,91,0,0,0,0,0,0,0,0,0,89,89,92,89,85
2023-08-24,85,0,0,0,0,0,0,0,0,0,91,73,81,83,86
2023-08-25,76,0,0,0,0,0,0,0,0,0,85,74,64,75,83
2023-08-26,64,1,0,0,0,0,0,0,0,0,76,69,67,74,81
2023-08-27,57,1,0,0,0,0,0,0,0,0,64,69,57,65,80
2023-08-28,64,0,0,0,0,0,0,0,0,0,57,91,80,84,73
